City_ID,City,Country,Max Temp,Desc,Lat,Lng,Hotel Name
321,Harper,LR,77.04,overcast clouds,4.375,-7.7169,Screensaver
326,Port-Gentil,GA,76.35,few clouds,-0.7193,8.7815,Fengshui Residence
327,Pachino,IT,78.58,clear sky,36.7186,15.0907,Il Veliero
328,Porto Santo,PT,77.38,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
332,Bela,IN,78.57,moderate rain,25.9333,81.9833,Raj Bhawan
340,Mangaratiba,BR,73.2,broken clouds,-22.9597,-44.0406,Portobello Resort & Safari
343,Ulcinj,ME,79.02,clear sky,41.9294,19.2244,Hotel Palata Venezia
352,Balkanabat,TM,76.28,clear sky,39.5108,54.3671,Nebitchi Hotel
353,Neokhorion,GR,72.93,clear sky,41.1833,23.25,Hippocampus Hotel
355,Moyale,KE,75.02,broken clouds,3.5167,39.0584,La Tahzan Guest House
357,Omboue,GA,76.87,clear sky,-1.5746,9.2618,Hotel Olako
360,Benavente,ES,73.27,overcast clouds,42.0025,-5.6783,Parador de Benavente
361,Cervo,ES,71.96,overcast clouds,43.6702,-7.4101,Hotel Spa Galatea
376,Elbistan,TR,73.8,clear sky,38.2059,37.1983,Sword Hotel
381,Rio Cuarto,AR,75.47,clear sky,-33.1307,-64.3499,Hotel Menossi
391,Mogadishu,SO,76.68,overcast clouds,2.0371,45.3438,Hotel Juba
393,Huntington,US,75.13,overcast clouds,38.4193,-82.4452,Ramada Limited Huntington
397,Maragogi,BR,78.64,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
400,Luanda,AO,71.92,few clouds,-8.8368,13.2343,EPIC SANA Luanda
403,Fort Oglethorpe,US,75.9,scattered clouds,34.949,-85.2569,Super 8 by Wyndham Ft. Oglethorpe GA/Chatt TN Area
409,Nouadhibou,MR,73.2,scattered clouds,20.931,-17.0347,El Medina
412,Guarapari,BR,72.9,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
